y,x,z,d
2.409057338,-6.335,40.12275,594.5
2.407945609,-6.17,40.2127,595.5
2.393604491,-6.47,40.30335,596.5
2.393604491,-6.69,40.39465,597.5
2.360214206,-6.83,40.4875,598.5
2.360214206,-6.9,40.5819,599.5
2.348629031,-6.935,40.67685,600.5
2.349676701,-7.085,40.7723,601.5
2.34028696,-7,40.86815,602.5
2.341325921,-6.385,40.9644,603.5
2.409057338,-6.175,41.05745,604.5
2.407945609,-6.63,41.1474,605.5
2.357041279,-6.74,41.23975,606.5
2.35598587,-6.525,41.3345,607.5
2.383795148,-6.375,41.428,608.5
2.382711137,-6.365,41.52025,609.5
2.364460497,-6.545,41.6134,610.5
2.363397232,-6.73,41.70745,611.5
2.332013904,-6.88,41.80305,612.5
2.330984568,-7.025,41.9002,613.5
2.306593114,-7.135,41.9986,614.5
2.306593114,-7.18,42.0982,615.5
2.31364604,-7.06,42.19745,616.5
2.31364604,-6.835,42.29635,617.5
2.346536981,-6.71,42.39365,618.5
2.347582459,-6.665,42.4893,619.5
2.360214206,-6.62,42.5843,620.5
2.360214206,-6.58,42.6787,621.5
2.38705425,-6.385,42.77185,622.5
2.38705425,-6.07,42.86375,623.5
2.432693778,-5.93,42.9536,624.5
2.43383338,-6.045,43.04135,625.5
2.417995945,-6.2,43.12975,626.5
2.417995945,-6.24,43.21885,627.5
2.42249539,-6.185,43.30775,628.5
2.42249539,-6.13,43.39645,629.5
2.439550948,-6.02,43.4844,630.5
2.438404816,-5.695,43.57165,631.5
2.45457145,-5.86,43.65825,632.5
2.453407983,-6.6,43.7442,633.5
2.361274089,-6.935,43.83435,634.5
2.361274089,-7.06,43.92865,635.5
2.345492594,-7.14,44.0237,636.5
2.344449297,-6.69,44.11955,637.5
2.41128451,-6.41,44.21235,638.5
2.412399959,-6.71,44.302,639.5
2.383795148,-6.81,44.3929,640.5
2.384880336,-6.635,44.48505,641.5
2.41128451,-6.615,44.57595,642.5
2.41128451,-6.565,44.66565,643.5
2.468639677,-6.1,44.75285,644.5
2.467459736,-5.74,44.8376,645.5
2.482908647,-6.055,44.92175,646.5
2.482908647,-6.48,45.00525,647.5
2.478129666,-6.24,45.08895,648.5
2.478129666,-5.54,45.17285,649.5
2.583622623,-5.15,45.25255,650.5
2.582298996,-5.065,45.3281,651.5
2.602339747,-5.055,45.40295,652.5
2.600991129,-5.285,45.4771,653.5
2.605042451,-5.14,45.55115,654.5
2.603690186,-4.665,45.6251,655.5
2.642262461,-4.805,45.6977,656.5
2.640858952,-4.945,45.76895,657.5
2.653562016,-4.745,45.8398,658.5
2.652142569,-4.975,45.91025,659.5
2.596956154,-5.48,45.98275,660.5
2.596956154,-5.34,46.05725,661.5
2.657832485,-4.82,46.12955,662.5
2.659260037,-4.975,46.1996,663.5
2.606396547,-5.5,46.2715,664.5
2.606396547,-5.55,46.3453,665.5
2.617295838,-5.445,46.4187,666.5
2.61866664,-5.46,46.49165,667.5
2.614559858,-5.56,46.5647,668.5
2.614559858,-5.91,46.6379,669.5
2.579656986,-6.04,46.7124,670.5
2.580977119,-5.915,46.78815,671.5
2.598299337,-5.905,46.8632,672.5
2.599644327,-5.865,46.93755,673.5
2.62554898,-5.665,47.0109,674.5
2.62693115,-5.515,47.08325,675.5
2.624168717,-5.77,47.15565,676.5
2.62554898,-6.245,47.2281,677.5
2.615926912,-5.935,47.30085,678.5
2.617295838,-5.445,47.3739,679.5
2.611831343,-6.075,47.4471,680.5
2.611831343,-6.64,47.5205,681.5
2.578338595,-6.54,47.59515,682.5
2.577021939,-6.71,47.6711,683.5
2.553613848,-6.91,47.748,684.5
2.552329326,-6.8,47.82585,685.5
2.562651998,-6.855,47.90335,686.5
2.563949857,-7.13,47.9804,687.5
2.548485631,-7.105,48.058,688.5
2.549765222,-6.955,48.13615,689.5
2.542112124,-7.24,48.21455,690.5
2.54338358,-7.32,48.2932,691.5
2.600991129,-6.64,48.3696,692.5
2.599644327,-6.35,48.44385,693.5
2.575707014,-6.995,48.51905,694.5
2.574393816,-7.24,48.5952,695.5
2.590267165,-6.86,48.6708,696.5
2.591601388,-6.7,48.74575,697.5
2.60775248,-6.705,48.82005,698.5
2.60775248,-7.045,48.89375,699.5
2.519498095,-7.78,48.97085,700.5
2.519498095,-8.035,49.05135,701.5
